,,,,,,,
,Resolution status,COUNTA of Ticket URL,,,Resolution status,COUNTA of Ticket URL,
,email,64,1.27%,,email,36,0.88%
,escalated,1398,27.71%,,escalated,1163,28.39%
,resolved live,3583,71.02%,,resolved live,2898,70.73%
,Grand Total,5045,,,Grand Total,4097,
,,,,,,,
,collaboration_quality,COUNTA of Ticket URL,,,collaboration_quality,COUNTA of Ticket URL,
,acceptable_quality,3197,63.37%,,acceptable_quality,2452,59.85%
,null,63,1.25%,,null,45,1.10%
,troubleshooting_incomplete,1468,29.10%,,troubleshooting_incomplete,1335,32.58%
,workflow_incomplete,317,6.28%,,workflow_incomplete,265,6.47%
,Grand Total,5045,,,Grand Total,4097,
,,,,,,,
,Outcome,COUNTA of Ticket URL,,,Outcome,COUNTA of Ticket URL,
,acceptable_collaboration,2974,58.95%,,acceptable_collaboration,2278,55.60%
,collaboration_not_required,1939,38.43%,,collaboration_not_required,1708,41.69%
,dropped_disconnected_interaction,69,1.37%,,dropped_disconnected_interaction,66,1.61%
,null,63,1.25%,,null,45,1.10%
,Grand Total,5045,,,Grand Total,4097,
,,,,,,,
,resolution_resource_quality,COUNTA of Ticket URL,,,resolution_resource_quality,COUNTA of Ticket URL,
,null,63,1.25%,,null,45,1.10%
,resource_accurate,3592,71.20%,,resource_accurate,2972,72.54%
,resource_unavailable,875,17.34%,,resource_unavailable,695,16.96%
,resource_unclear,515,10.21%,,resource_unclear,385,9.40%
,Grand Total,5045,,,Grand Total,4097,
,,,,,,,
,,,,,,,
,,,,,,,
,resource_url,COUNTA of Ticket URL,,,,,
,"

https://app.getguru.com/card/9ce66b5c/Shopify-Payments-Reserves-Key-information

",1,,,,,
,"
https://app.getguru.com/card/iByq4j8T/PaymentsCheckout-Getting-an-error-This-store-cant-accept-payments-right-now-at-check",1,,,,,
,"
Shopify Tax: United States Sales Tax Report",1,,,,,
," -[Login Troubleshooting | Guru](https://app.getguru.com/card/TpGaEKac/Login-Troubleshooting)
- [Merchant Authentication - Chats | Guru](https://app.getguru.com/card/iXeK59yT/Merchant-Authentication-Chats?query=Merchant+authenitcation&agentId=0cc5dacb-bf5d-4cc9-ab6b-0ca4ec6e02a4)",1,,,,,
, [[Identity] Merchant requests to delete their Identity account (accounts.shopify.com) | Guru](https://app.getguru.com/card/c64okj6i/Identity-Merchant-requests-to-delete-their-Identity-account-accountsshopifycom?q=delete+identity+account),1,,,,,
, https://app.getguru.com/card/iRA48kBT/Billing-Troubleshooting-INR-Billing and https://app.getguru.com/card/TKzrzxEc/Billing-INR-Address-Requirements-Change-Troubleshooting-,1,,,,,
, https://app.getguru.com/card/pc58KA9c/Shopify-Shipping-Checkout-Troubleshooting-Your-order-cannot-be-shipped-to-the-selected-address,1,,,,,
, https://app.getguru.com/card/RTAAkd6T/Shopify-Partners-Collaborator-Account-Troubleshooting,1,,,,,
, https://app.getguru.com/card/T5MGpLBc/Billing-refunds-and-invoices-for-Academy?query=Shopify+academy+course+refund&agentId=0cc5dacb-bf5d-4cc9-ab6b-0ca4ec6e02a4,1,,,,,
, https://community.shopify.com/c/shopify-discussions/i-can-not-add-multiple-pictures-for-my-variants/m-p/2416533,1,,,,,
, https://shopify-support.slack.com/archives/C02JL9T7684/p1726742072176839,1,,,,,
,"-  [option to update pin in admin doesnt' show here as expected either](https://help.shopify.com/en/manual/sell-in-person/shopify-pos/pin-recovery#create-or-change-a-pos-pin:~:text=From%20your%20Shopify%20admin%2C%20go%20to%20Settings%20%3E%20Users,Click%20Save.)

- https://app.getguru.com/card/TBbMAbAc/POS-Staff-Logins-PINs-Key-information",1,,,,,
,"-  https://app.getguru.com/card/RcAx4xgc/Capital-Update-Merchant-Bank-Account-Information-for-MCAs-and-Loans-Key-information
",1,,,,,
,- [Abandoned Checkout Errors - Intro - Key information | Guru](https://app.getguru.com/card/qcE6dpXc/Abandoned-Checkout-Errors-Intro-Key-information?query=payment+error+at+checkout&agentId=0cc5dacb-bf5d-4cc9-ab6b-0ca4ec6e02a4),1,,,,,
,- [Apple Pay for Support Advisors - Troubleshooting - Unable to purchase errors | Guru](https://app.getguru.com/card/iGkznxAT/Apple-Pay-for-Support-Advisors-Troubleshooting-Unable-to-purchase-errors),1,,,,,
